_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,external_prior_n,external_prior_sources,delta_p
Anthony Black,PTS,GOBLIN,OVER,14.5,14.646510618584443,0.14651061858444336,OVER,True,0.048798083898814744,1,rotowire,0.0014639425169644424
Anthony Black,PTS,STANDARD,OVER,16.5,14.646510618584443,-1.8534893814155566,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,PTS,DEMON,OVER,19.5,14.646510618584443,-4.853489381415557,UNDER,False,0.0,0,rotowire,0.0
Anthony Black,REB,GOBLIN,OVER,3.5,4.766929435913274,1.2669294359132737,OVER,True,0.3988745385154379,1,rotowire,0.011966236155463137
Anthony Black,REB,DEMON,OVER,5.5,4.766929435913274,-0.7330705640867263,UNDER,False,0.0,0,rotowire,0.0
Anthony Edwards,AST,GOBLIN,OVER,2.5,,,,False,0.0,0,,0.0
Anthony Edwards,AST,DEMON,OVER,6.5,,,,False,0.0,0,,0.0
Anthony Edwards,FG3M,GOBLIN,OVER,2.5,,,,False,0.0,0,,0.0
Anthony Edwards,FG3M,DEMON,OVER,3.5,,,,False,0.0,0,,0.0
Anthony Edwards,PA,GOBLIN,OVER,29.5,,,,False,0.0,0,,0.0
Anthony Edwards,PA,STANDARD,OVER,32.5,,,,False,0.0,0,,0.0
Anthony Edwards,PA,DEMON,OVER,34.5,,,,False,0.0,0,,0.0
Anthony Edwards,PRA,GOBLIN,OVER,37.5,,,,False,0.0,0,,0.0
Anthony Edwards,PRA,STANDARD,OVER,38.5,,,,False,0.0,0,,0.0
Anthony Edwards,PRA,DEMON,OVER,40.5,,,,False,0.0,0,,0.0
Anthony Edwards,PR,GOBLIN,OVER,29.5,,,,False,0.0,0,,0.0
Anthony Edwards,PR,STANDARD,OVER,34.0,,,,False,0.0,0,,0.0
Anthony Edwards,PR,DEMON,OVER,44.5,,,,False,0.0,0,,0.0
Anthony Edwards,PTS,GOBLIN,OVER,26.5,,,,False,0.0,0,,0.0
Anthony Edwards,PTS,STANDARD,OVER,28.5,,,,False,0.0,0,,0.0
Anthony Edwards,PTS,DEMON,OVER,32.5,,,,False,0.0,0,,0.0
Anthony Edwards,RA,DEMON,OVER,10.5,,,,False,0.0,0,,0.0
Anthony Edwards,RA,GOBLIN,OVER,8.5,,,,False,0.0,0,,0.0
Anthony Edwards,RA,STANDARD,UNDER,9.5,,,,False,0.0,0,,0.0
Anthony Edwards,REB,GOBLIN,OVER,3.5,,,,False,0.0,0,,0.0
Anthony Edwards,REB,STANDARD,OVER,5.5,,,,False,0.0,0,,0.0
Anthony Edwards,REB,DEMON,OVER,8.5,,,,False,0.0,0,,0.0
Ausar Thompson,AST,GOBLIN,OVER,1.5,,,,False,0.0,0,,0.0
Ausar Thompson,AST,STANDARD,OVER,2.5,,,,False,0.0,0,,0.0
Ausar Thompson,AST,DEMON,OVER,4.5,,,,False,0.0,0,,0.0
Ausar Thompson,PA,STANDARD,UNDER,12.5,14.568365363526102,2.0683653635261017,OVER,False,0.0,0,rotowire,0.0
