_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,bp_market_prob,bp_market_divergence,external_prior_n,external_prior_sources,delta_p
Jarrett Allen,PA,DEMON,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Jarrett Allen,PRA,GOBLIN,OVER,19.5,24.1,4.600000000000001,OVER,True,0.9956707161399166,,0.0,1,bettingpros,0.0
Jaylon Tyson,PRA,DEMON,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Daniss Jenkins,PRA,DEMON,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
James Harden,PTS,STANDARD,OVER,19.0,19.5,0.5,OVER,True,0.32151273753163434,0.4791,0.014385963481587105,1,oddsapi,0.0
James Harden,PTS,STANDARD,UNDER,19.0,19.5,0.5,OVER,False,0.0,0.5209,-0.009141167221560997,0,oddsapi,0.0
Evan Mobley,PA,STANDARD,OVER,18.5,21.1,2.6000000000000014,OVER,True,0.9394486160260992,,0.0,1,bettingpros,0.0
Evan Mobley,PA,STANDARD,UNDER,18.5,21.1,2.6000000000000014,OVER,False,0.0,,0.0,0,bettingpros,0.0
Evan Mobley,PTS,DEMON,OVER,18.5,16.099999999999998,-2.400000000000002,UNDER,False,0.0,0.5,0.10934119326439151,0,"bettingpros,oddsapi",0.0
Jarrett Allen,PR,GOBLIN,OVER,18.5,22.5,4.0,OVER,True,0.990390494225681,,0.0,1,bettingpros,0.0
Tobias Harris,PA,STANDARD,OVER,18.5,16.748056067223466,-1.751943932776534,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Tobias Harris,PA,STANDARD,UNDER,18.5,16.748056067223466,-1.751943932776534,UNDER,True,-0.8236179392679166,,0.0,2,"bettingpros,rotowire",0.0
Jalen Duren,PTS,DEMON,OVER,18.5,13.711310091813367,-4.788689908186633,UNDER,False,0.0,0.5165,0.18977248731388746,0,"oddsapi,rotowire",0.0
Ausar Thompson,PR,DEMON,OVER,18.5,17.984726252082638,-0.5152737479173624,UNDER,False,0.0,,0.0,0,rotowire,0.0
James Harden,PR,GOBLIN,OVER,18.5,,,,False,0.0,,0.0,0,,0.0
Jarrett Allen,PRA,GOBLIN,OVER,18.5,24.1,5.600000000000001,OVER,True,0.9988569911528391,,0.0,1,bettingpros,0.0
Duncan Robinson,PTS,DEMON,OVER,17.5,11.051120606990766,-6.448879393009234,UNDER,False,0.0,0.5389,0.3303244553337381,0,"oddsapi,rotowire",0.0
Jalen Duren,PTS,DEMON,OVER,17.5,13.711310091813367,-3.788689908186633,UNDER,False,0.0,0.5165,0.15684987694875507,0,"oddsapi,rotowire",0.0
Ausar Thompson,PRA,GOBLIN,OVER,17.5,20.3711791409515,2.871179140951501,OVER,True,0.9574300402937339,,0.0,1,rotowire,0.0
