projection_id,source_projection_id,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at,game_date,opp,home,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,data_health_flag,p_adj,rpd_active,rpd_last10_hitrate,rpd_z,rpd_delta_p,telemetry_k_shrink,telemetry_under_penalty,telemetry_mult,prop_key,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
9869845|AJ Green|REB|DEMON|3.5|OVER,9869845,AJ Green,MIL,REB,REBOUNDS,1,3.5,OVER,DEMON,1,0,3.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:05:34.209000+00:00,2026-02-12,,0,0.6,0.27684463107378526,0.26304739052189563,0.0,0.0,False,0.0,32.2,5.853204250664759,0.07780560678760476,0.04809487788266096,20,OK,0.34379124175164966,0,0.2,,0.0,0.7,0.9,1.0,AJ Green|REB|OVER|3.5|DEMON,0.0,0,,0.03
9870305|AJ Green|REB|DEMON|4.5|OVER,9870305,AJ Green,MIL,REB,REBOUNDS,1,4.5,OVER,DEMON,1,0,4.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T13:41:48.931000+00:00,2026-02-12,,0,0.6,0.11907618476304739,0.11547690461907618,0.0,0.0,False,0.0,32.2,5.853204250664759,0.07780560678760476,0.04809487788266096,20,OK,0.23335332933413316,0,0.1,,0.0,0.7,0.9,1.0,AJ Green|REB|OVER|4.5|DEMON,0.0,0,,0.03
9869928|AJ Green|REB|DEMON|5.5|OVER,9869928,AJ Green,MIL,REB,REBOUNDS,1,5.5,OVER,DEMON,1,0,5.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:05:33.949000+00:00,2026-02-12,,0,0.6,0.04729054189162168,0.04689062187562487,0.0,0.0,False,0.0,32.2,5.853204250664759,0.07780560678760476,0.04809487788266096,20,OK,0.18310337932413517,0,0.1,,0.0,0.7,0.9,1.0,AJ Green|REB|OVER|5.5|DEMON,0.0,0,,0.03
9885331|Aaron Wiggins|AST|GOBLIN|1.5|OVER,9885331,Aaron Wiggins,OKC,AST,ASSISTS,1,1.5,OVER,GOBLIN,1,0,1.5,0,0,goblin,2026-02-12T19:40:00.000-05:00,2026-02-12T23:49:11.562000+00:00,2026-02-12,,0,0.6,0.5685862827434514,0.5581883623275345,0.0,0.0,False,0.0,24.75,6.378675411086537,0.07345528940273853,0.06197301688377062,20,OK,0.548010397920416,0,0.4,,0.0,0.7,0.9,1.0,Aaron Wiggins|AST|OVER|1.5|GOBLIN,0.0,0,,0.03
9870689|Aaron Wiggins|AST|GOBLIN|2.5|OVER,9870689,Aaron Wiggins,OKC,AST,ASSISTS,1,2.5,OVER,GOBLIN,1,0,2.5,0,0,goblin,2026-02-12T19:40:00.000-05:00,2026-02-12T19:35:11.837000+00:00,2026-02-12,,0,0.6,0.32843431313737254,0.3208358328334333,0.0,0.0,False,0.0,24.75,6.378675411086537,0.07345528940273853,0.06197301688377062,20,OK,0.3799040191961608,0,0.4,,0.0,0.7,0.9,1.0,Aaron Wiggins|AST|OVER|2.5|GOBLIN,0.0,0,,0.03
9870690|Aaron Wiggins|AST|DEMON|4.5|OVER,9870690,Aaron Wiggins,OKC,AST,ASSISTS,1,4.5,OVER,DEMON,1,0,4.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:34:41.086000+00:00,2026-02-12,,0,0.6,0.06808638272345531,0.0646870625874825,0.0,0.0,False,0.0,24.75,6.378675411086537,0.07345528940273853,0.06197301688377062,20,OK,0.19575404919016198,0,0.2,,0.0,0.7,0.9,1.0,Aaron Wiggins|AST|OVER|4.5|DEMON,0.0,0,,0.03
9869929|Aaron Wiggins|AST|DEMON|5.5|OVER,9869929,Aaron Wiggins,OKC,AST,ASSISTS,1,5.5,OVER,DEMON,1,0,5.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:35:11.850000+00:00,2026-02-12,,0,0.6,0.02529494101179764,0.02409518096380724,0.0,0.0,False,0.0,24.75,6.378675411086537,0.07345528940273853,0.06197301688377062,20,OK,0.16699820035992807,0,0.1,,0.0,0.7,0.9,1.0,Aaron Wiggins|AST|OVER|5.5|DEMON,0.0,0,,0.03
9870691|Aaron Wiggins|AST|DEMON|6.5|OVER,9870691,Aaron Wiggins,OKC,AST,ASSISTS,1,6.5,OVER,DEMON,1,0,6.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T22:28:29.883000+00:00,2026-02-12,,0,0.6,0.008898220355928814,0.008298340331933614,0.0,0.0,False,0.0,24.75,6.378675411086537,0.07345528940273853,0.06197301688377062,20,OK,0.1559796040791842,0,0.0,,0.0,0.7,0.9,1.0,Aaron Wiggins|AST|OVER|6.5|DEMON,0.0,0,,0.03
9869846|Aaron Wiggins|FG3M|GOBLIN|1.5|OVER,9869846,Aaron Wiggins,OKC,FG3M,3-PT MADE,1,1.5,OVER,GOBLIN,1,0,1.5,0,0,goblin,2026-02-12T19:40:00.000-05:00,2026-02-12T19:35:11.708000+00:00,2026-02-12,,0,0.6,0.5255948810237953,0.5221955608878225,0.0,0.0,False,0.0,24.75,6.378675411086537,0.06598953180656944,0.04698987425417409,20,OK,0.5230673430490429,1,0.8,0.6737209694778066,0.03363821024031294,0.7,0.9,1.0,Aaron Wiggins|FG3M|OVER|1.5|GOBLIN,0.0,0,,0.03
9869848|Aaron Wiggins|FG3M|DEMON|3.5|OVER,9869848,Aaron Wiggins,OKC,FG3M,3-PT MADE,1,3.5,OVER,DEMON,1,0,3.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:36:53.203000+00:00,2026-02-12,,0,0.6,0.08568286342731454,0.08208358328334334,0.0,0.0,False,0.0,24.75,6.378675411086537,0.06598953180656944,0.04698987425417409,20,OK,0.20997800439912023,0,0.2,,0.0,0.7,0.9,1.0,Aaron Wiggins|FG3M|OVER|3.5|DEMON,0.0,0,,0.03
