date,player,stat,line,direction,tier,hit,p_cal,product,n_legs
20260406,Onyeka Okongwu,AST,1.5,OVER,GOBLIN,0,0.7947,Windfall,4
20260406,Landry Shamet,PA,8.5,OVER,STANDARD,0,0.5389,Windfall,4
20260406,Aaron Gordon,PR,20.5,UNDER,STANDARD,0,0.3056,Windfall,4
20260406,CJ McCollum,AST,5.5,OVER,DEMON,1,0.2801,Windfall,4
20260406,Zaccharie Risacher,REB,1.5,OVER,GOBLIN,1,0.7878,Windfall,5
20260406,CJ McCollum,RA,4.5,OVER,GOBLIN,1,0.7859,Windfall,5
20260406,Cameron Johnson,PA,13.5,OVER,STANDARD,1,0.4968,Windfall,5
20260406,De'Aaron Fox,RA,10.5,OVER,DEMON,0,0.3138,Windfall,5
20260405,P.J. Washington,FG3M,0.5,OVER,GOBLIN,1,0.764,System,3
20260405,Collin Sexton,RA,7.0,UNDER,STANDARD,0,0.3207,System,3
20260405,Mike Conley,PRA,11.5,UNDER,STANDARD,0,0.4382,System,3
20260405,Tre Jones,PRA,19.5,OVER,GOBLIN,1,0.6006,System,4
20260405,James Harden,RA,9.5,OVER,GOBLIN,1,0.6868,System,4
20260405,Desmond Bane,PTS,21.5,UNDER,STANDARD,0,0.5343,System,4
20260405,DeMar DeRozan,RA,6.5,OVER,STANDARD,0,0.5185,System,4
20260405,Klay Thompson,PR,9.5,OVER,GOBLIN,1,0.7191,System,5
20260405,Precious Achiuwa,RA,7.5,OVER,GOBLIN,0,0.6927,System,5
20260405,Dennis Schröder,RA,4.5,OVER,GOBLIN,1,0.7306,System,5
20260405,Jalen Green,PTS,20.5,OVER,STANDARD,1,0.5375,System,5
20260405,Julius Randle,PA,27.5,UNDER,STANDARD,0,0.4459,System,5
20260405,Ayo Dosunmu,PA,14.5,OVER,GOBLIN,0,0.6395,Windfall,3
20260405,Devin Booker,PA,33.5,OVER,STANDARD,1,0.4907,Windfall,3
20260405,Precious Achiuwa,REB,9.5,OVER,DEMON,0,0.2583,Windfall,3
20260405,Ayo Dosunmu,PR,14.5,OVER,GOBLIN,1,0.6144,Windfall,4
20260405,Leonard Miller,PR,24.5,UNDER,STANDARD,0,0.342,Windfall,4
20260405,Collin Sexton,PRA,27.5,UNDER,STANDARD,0,0.4232,Windfall,4
20260405,Coby White,RA,7.5,OVER,DEMON,0,0.389,Windfall,4
20260405,Julius Randle,AST,2.5,OVER,GOBLIN,1,0.7653,Windfall,5
20260405,Collin Sexton,FG3M,1.5,OVER,GOBLIN,1,0.7444,Windfall,5
20260405,Cooper Flagg,RA,12.5,UNDER,STANDARD,0,0.4932,Windfall,5
20260405,Anthony Gill,PTS,10.5,OVER,STANDARD,1,0.5092,Windfall,5
20260405,Daniel Gafford,REB,7.5,OVER,DEMON,0,0.3534,Windfall,5
20260404,Davion Mitchell,FG3M,0.5,OVER,GOBLIN,1,0.7873,System,3
20260404,Christian Braun,PR,15.5,OVER,STANDARD,1,0.5067,System,3
20260404,Bruce Brown,PR,10.5,OVER,STANDARD,0,0.5244,System,3
20260404,Bam Adebayo,AST,2.5,OVER,GOBLIN,1,0.7109,System,4
20260404,Nikola Jokić,AST,8.5,OVER,GOBLIN,1,0.7,System,4
20260404,Andrew Wiggins,RA,8.0,UNDER,STANDARD,1,0.3894,System,4
20260404,Christian Braun,PRA,17.5,OVER,STANDARD,1,0.5083,System,4
20260404,Nikola Jokić,RA,21.5,OVER,GOBLIN,0,0.6394,System,5
20260404,Andrew Wiggins,FG3M,1.5,OVER,GOBLIN,1,0.7859,System,5
20260404,Daniss Jenkins,PA,23.5,UNDER,STANDARD,0,0.4426,System,5
20260404,Jaime Jaquez,PA,21.0,OVER,STANDARD,1,0.503,Windfall,3
20260404,Cameron Johnson,AST,2.5,OVER,DEMON,0,0.5158,Windfall,3
20260404,Bam Adebayo,RA,11.5,OVER,GOBLIN,1,0.6508,Windfall,4
20260404,Nikola Jokić,PR,39.5,OVER,STANDARD,1,0.4943,Windfall,4
20260404,Andrew Wiggins,PTS,15.5,UNDER,STANDARD,0,0.3835,Windfall,4
20260404,Jamal Murray,PTS,28.5,OVER,DEMON,0,0.3312,Windfall,4
20260404,Paul Reed,PTS,4.5,OVER,GOBLIN,1,0.738,Windfall,5
20260404,Jaime Jaquez,FG3M,0.5,OVER,GOBLIN,1,0.7696,Windfall,5
20260404,Davion Mitchell,AST,6.0,UNDER,STANDARD,0,0.3456,Windfall,5
20260404,Christian Braun,PA,13.5,OVER,STANDARD,1,0.5183,Windfall,5
20260404,Aaron Gordon,AST,2.5,OVER,DEMON,1,0.4417,Windfall,5
20260403,Dylan Cardwell,REB,3.5,OVER,GOBLIN,1,0.7798,System,3
20260403,Precious Achiuwa,PR,22.5,OVER,STANDARD,0,0.4509,System,3
20260403,Cooper Flagg,PRA,36.5,UNDER,STANDARD,0,0.5473,System,3
20260403,VJ Edgecombe,PA,14.5,OVER,GOBLIN,0,0.6939,System,4
20260403,Saddiq Bey,FG3M,1.5,OVER,GOBLIN,0,0.7267,System,4
20260403,Donte DiVincenzo,RA,7.5,UNDER,STANDARD,1,0.3359,System,4
20260403,Javon Small,FG3M,1.5,OVER,STANDARD,1,0.5406,System,4
20260403,Tre Jones,PTS,9.5,OVER,GOBLIN,1,0.6656,System,5
20260403,Matas Buzelis,PTS,11.5,OVER,GOBLIN,0,0.6712,System,5
20260403,Trey Murphy,RA,10.5,UNDER,STANDARD,1,0.4379,System,5
20260403,Brandon Ingram,PRA,29.5,UNDER,STANDARD,1,0.445,System,5
20260403,Matas Buzelis,FG3M,1.5,OVER,GOBLIN,0,0.7548,Windfall,3
20260403,Ayo Dosunmu,AST,4.0,OVER,STANDARD,0,0.5304,Windfall,3
20260403,Josh Hart,FG3M,1.5,OVER,DEMON,0,0.5472,Windfall,3
20260403,Matas Buzelis,REB,4.5,OVER,GOBLIN,1,0.6926,Windfall,4
