source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Desmond Bane,AST,2026-05-01 22:30:22,3.8,0.2,None,None,None,None,1,side=over; rating=0; diff=1.3; line=2.5; L10=4o/6u/10g; streak=4u; opp_rank=1
bettingpros,NBA,Desmond Bane,PA,2026-05-01 22:30:22,23.8,0.2,None,None,None,None,2,side=over; rating=0; diff=1.3; line=22.5; L10=4o/6u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Jamal Shead,RA,2026-05-01 22:30:22,9.8,0.2,None,None,None,None,15,side=over; rating=0; diff=1.3; line=8.5; L10=1o/9u/10g; streak=8u; opp_rank=15
bettingpros,NBA,Jalen Suggs,RA,2026-05-01 22:30:22,9.8,0.2,None,None,None,None,2,side=over; rating=0; diff=1.3; line=8.5; L10=4o/6u/10g; streak=3u; opp_rank=2
bettingpros,NBA,Amen Thompson,RA,2026-05-01 22:30:22,14.8,0.2,None,None,None,None,7,side=over; rating=0; diff=1.3; line=13.5; L10=5o/5u/10g; streak=2u; opp_rank=7
bettingpros,NBA,Rui Hachimura,PRA,2026-05-01 22:30:22,17.8,0.2,None,None,None,None,3,side=over; rating=0; diff=1.3; line=16.5; L10=7o/3u/10g; streak=1u; opp_rank=3
bettingpros,NBA,Tobias Harris,AST,2026-05-01 22:30:22,2.7,0.2,None,None,None,None,6,side=over; rating=0; diff=1.2; line=1.5; L10=4o/6u/10g; streak=2u; opp_rank=6
bettingpros,NBA,Goga Bitadze,REB,2026-05-01 22:30:22,4.7,0.2,None,None,None,None,4,side=over; rating=0; diff=1.2; line=3.5; L10=7o/3u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Max Strus,PR,2026-05-01 22:30:22,14.7,0.2,None,None,None,None,8,side=over; rating=0; diff=1.2; line=13.5; L10=4o/6u/10g; streak=2u; opp_rank=8
bettingpros,NBA,Tobias Harris,PRA,2026-05-01 22:30:22,24.3,0.2,None,None,None,None,12,side=under; rating=0; diff=-1.2; line=25.5; L10=6o/4u/10g; streak=6o; opp_rank=12
bettingpros,NBA,James Harden,AST,2026-05-01 22:30:22,7.6,0.2,None,None,None,None,2,side=over; rating=0; diff=1.1; line=6.5; L10=3o/7u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Dean Wade,PTS,2026-05-01 22:30:22,5.6,0.2,None,None,None,None,9,side=over; rating=0; diff=1.1; line=3.5; L10=6o/4u/10g; streak=3o; opp_rank=9
bettingpros,NBA,Scottie Barnes,REB,2026-05-01 22:30:22,8.6,0.2,None,None,None,None,11,side=over; rating=0; diff=1.1; line=7.5; L10=4o/6u/10g; streak=2o; opp_rank=11
bettingpros,NBA,RJ Barrett,PA,2026-05-01 22:30:22,28.6,0.2,None,None,None,None,15,side=over; rating=0; diff=1.1; line=27.5; L10=4o/6u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Jakob Poeltl,PR,2026-05-01 22:30:22,14.6,0.2,None,None,None,None,14,side=over; rating=0; diff=1.1; line=13.5; L10=6o/4u/10g; streak=3o; opp_rank=14
bettingpros,NBA,Donovan Mitchell,PR,2026-05-01 22:30:22,32.6,0.2,None,None,None,None,8,side=over; rating=0; diff=1.1; line=30.5; L10=6o/4u/10g; streak=3u; opp_rank=8
bettingpros,NBA,Josh Okogie,PR,2026-05-01 22:30:22,7.6,0.2,None,None,None,None,9,side=over; rating=0; diff=1.1; line=6.5; L10=6o/4u/10g; streak=2o; opp_rank=9
bettingpros,NBA,Jarrett Allen,RA,2026-05-01 22:30:22,9.6,0.2,None,None,None,None,6,side=over; rating=0; diff=1.1; line=8.5; L10=4o/6u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Sandro Mamukelashvili,PRA,2026-05-01 22:30:22,11.4,0.2,None,None,None,None,15,side=under; rating=0; diff=-1.1; line=12.5; L10=7o/3u/10g; streak=1o; opp_rank=15
bettingpros,NBA,Jaylon Tyson,PRA,2026-05-01 22:30:22,11.6,0.2,None,None,None,None,7,side=over; rating=0; diff=1.1; line=10.5; L10=7o/3u/10g; streak=3o; opp_rank=7
bettingpros,NBA,Josh Okogie,PRA,2026-05-01 22:30:22,8.6,0.2,None,None,None,None,11,side=over; rating=0; diff=1.1; line=7.5; L10=6o/4u/10g; streak=2o; opp_rank=11
bettingpros,NBA,Jaylon Tyson,PTS,2026-05-01 22:30:22,7.5,0.2,None,None,None,None,9,side=over; rating=0; diff=1; line=6.5; L10=7o/3u/10g; streak=3o; opp_rank=9
bettingpros,NBA,Tobias Harris,PTS,2026-05-01 22:30:22,15.5,0.2,None,None,None,None,12,side=under; rating=0; diff=-1; line=16.5; L10=6o/4u/10g; streak=3o; opp_rank=12
bettingpros,NBA,Tristan da Silva,PTS,2026-05-01 22:30:22,6.5,0.2,None,None,None,None,3,side=over; rating=0; diff=1; line=5.5; L10=4o/6u/10g; streak=1u; opp_rank=3
bettingpros,NBA,Brandon Ingram,REB,2026-05-01 22:30:22,5.5,0.2,None,None,None,None,11,side=over; rating=0; diff=1; line=4.5; L10=4o/6u/10g; streak=1u; opp_rank=11
bettingpros,NBA,Tari Eason,REB,2026-05-01 22:30:22,7.5,0.2,None,None,None,None,5,side=over; rating=0; diff=1; line=6.5; L10=6o/4u/10g; streak=1u; opp_rank=5
bettingpros,NBA,Amen Thompson,REB,2026-05-01 22:30:22,8.5,0.2,None,None,None,None,5,side=over; rating=0; diff=1; line=7.5; L10=4o/6u/10g; streak=2u; opp_rank=5
bettingpros,NBA,Jakob Poeltl,PA,2026-05-01 22:30:22,10.5,0.2,None,None,None,None,15,side=over; rating=0; diff=1; line=9.5; L10=6o/4u/10g; streak=3o; opp_rank=15
bettingpros,NBA,Ja'Kobe Walter,PR,2026-05-01 22:30:22,13.5,0.2,None,None,None,None,14,side=under; rating=0; diff=-1; line=14.5; L10=5o/5u/10g; streak=1o; opp_rank=14
bettingpros,NBA,James Harden,RA,2026-05-01 22:30:22,12.5,0.2,None,None,None,None,6,side=over; rating=0; diff=1; line=11.5; L10=2o/8u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Cade Cunningham,PRA,2026-05-01 22:30:22,46.5,0.2,None,None,None,None,12,side=over; rating=0; diff=1; line=45.5; L10=2o/8u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Donovan Mitchell,AST,2026-05-01 22:30:22,5.4,0.2,None,None,None,None,2,side=over; rating=0; diff=0.9; line=4.5; L10=4o/6u/10g; streak=3u; opp_rank=2
