source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Tyrese Maxey,PA,2026-05-04 22:30:22,34.9,1.0,0.64472211106125,0.35527788893875,5,1,5,side=over; rating=5; diff=4.4; line=31.5; L10=5o/5u/10g; streak=2o; opp_rank=5
bettingpros,NBA,Naz Reid,STL,2026-05-04 22:30:22,0.9,0.2,None,None,None,None,5,side=over; rating=0; diff=0.4; line=0.5; L10=6o/4u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Devin Vassell,STL,2026-05-04 22:30:22,0.9,0.2,None,None,None,None,14,side=over; rating=0; diff=0.4; line=0.5; L10=7o/3u/10g; streak=4o; opp_rank=14
bettingpros,NBA,Victor Wembanyama,STL,2026-05-04 22:30:22,1.1,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.4; line=1.5; L10=2o/8u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Dylan Harper,STL,2026-05-04 22:30:22,0.9,0.2,None,None,None,None,14,side=over; rating=0; diff=0.4; line=0.5; L10=6o/4u/10g; streak=4o; opp_rank=14
bettingpros,NBA,Josh Hart,STL,2026-05-04 22:30:22,1.1,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.4; line=1.5; L10=4o/6u/10g; streak=2u; opp_rank=2
bettingpros,NBA,Mike Conley,FG3M,2026-05-04 22:30:22,1.1,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.4; line=1.5; L10=4o/6u/10g; streak=6u; opp_rank=14
bettingpros,NBA,De'Aaron Fox,FG3M,2026-05-04 22:30:22,1.9,0.2,None,None,None,None,2,side=over; rating=0; diff=0.4; line=1.5; L10=6o/4u/10g; streak=2o; opp_rank=2
bettingpros,NBA,Keldon Johnson,FG3M,2026-05-04 22:30:22,0.9,0.2,None,None,None,None,2,side=over; rating=0; diff=0.4; line=0.5; L10=8o/2u/10g; streak=7o; opp_rank=2
bettingpros,NBA,Victor Wembanyama,FG3M,2026-05-04 22:30:22,2.1,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.4; line=2.5; L10=2o/8u/10g; streak=3u; opp_rank=2
bettingpros,NBA,Dylan Harper,FG3M,2026-05-04 22:30:22,0.9,0.2,None,None,None,None,2,side=over; rating=0; diff=0.4; line=0.5; L10=5o/5u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Mikal Bridges,FG3M,2026-05-04 22:30:22,1.9,0.2,None,None,None,None,18,side=over; rating=0; diff=0.4; line=1.5; L10=4o/6u/10g; streak=1o; opp_rank=18
bettingpros,NBA,Rudy Gobert,AST,2026-05-04 22:30:22,1.8,0.2,None,None,None,None,9,side=over; rating=0; diff=0.3; line=1.5; L10=7o/3u/10g; streak=4o; opp_rank=9
bettingpros,NBA,Mike Conley,BLK,2026-05-04 22:30:22,0.2,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.3; line=0.5; L10=1o/9u/10g; streak=8u; opp_rank=13
bettingpros,NBA,Julius Randle,BLK,2026-05-04 22:30:22,0.2,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.3; line=0.5; L10=1o/9u/10g; streak=3u; opp_rank=13
bettingpros,NBA,Joel Embiid,BLK,2026-05-04 22:30:22,1.2,0.2,None,None,None,None,7,side=under; rating=0; diff=-0.3; line=1.5; L10=3o/7u/10g; streak=4u; opp_rank=7
bettingpros,NBA,OG Anunoby,BLK,2026-05-04 22:30:22,0.8,0.2,None,None,None,None,20,side=over; rating=0; diff=0.3; line=0.5; L10=7o/3u/10g; streak=5o; opp_rank=20
bettingpros,NBA,Mikal Bridges,BLK,2026-05-04 22:30:22,0.8,0.2,None,None,None,None,20,side=over; rating=0; diff=0.3; line=0.5; L10=2o/8u/10g; streak=1o; opp_rank=20
bettingpros,NBA,Mike Conley,REB,2026-05-04 22:30:22,1.8,0.2,None,None,None,None,8,side=over; rating=0; diff=0.3; line=1.5; L10=4o/6u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Paul George,REB,2026-05-04 22:30:22,5.8,0.2,None,None,None,None,3,side=over; rating=0; diff=0.3; line=5.5; L10=1o/9u/10g; streak=2u; opp_rank=3
bettingpros,NBA,Jordan Clarkson,REB,2026-05-04 22:30:22,1.8,0.2,None,None,None,None,22,side=over; rating=0; diff=0.3; line=1.5; L10=5o/5u/10g; streak=3u; opp_rank=22
bettingpros,NBA,Karl-Anthony Towns,REB,2026-05-04 22:30:22,12.8,0.2,None,None,None,None,22,side=over; rating=0; diff=0.3; line=11.5; L10=4o/6u/10g; streak=1u; opp_rank=22
bettingpros,NBA,Rudy Gobert,STL,2026-05-04 22:30:22,0.8,0.2,None,None,None,None,5,side=over; rating=0; diff=0.3; line=0.5; L10=7o/3u/10g; streak=3o; opp_rank=5
bettingpros,NBA,Stephon Castle,STL,2026-05-04 22:30:22,1.2,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.3; line=1.5; L10=2o/8u/10g; streak=3u; opp_rank=14
bettingpros,NBA,Stephon Castle,FG3M,2026-05-04 22:30:22,1.2,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.3; line=1.5; L10=7o/3u/10g; streak=4o; opp_rank=2
bettingpros,NBA,Jose Alvarado,FG3M,2026-05-04 22:30:22,0.8,0.2,None,None,None,None,18,side=over; rating=0; diff=0.3; line=0.5; L10=7o/3u/10g; streak=3o; opp_rank=18
bettingpros,NBA,Mitchell Robinson,PRA,2026-05-04 22:30:22,12.2,0.2,None,None,None,None,19,side=under; rating=0; diff=-0.3; line=12.5; L10=6o/4u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Devin Vassell,AST,2026-05-04 22:30:22,2.7,0.2,None,None,None,None,10,side=over; rating=0; diff=0.2; line=2.5; L10=3o/7u/10g; streak=1u; opp_rank=10
bettingpros,NBA,Rudy Gobert,BLK,2026-05-04 22:30:22,1.7,0.2,None,None,None,None,13,side=over; rating=0; diff=0.2; line=1.5; L10=4o/6u/10g; streak=1o; opp_rank=13
bettingpros,NBA,De'Aaron Fox,BLK,2026-05-04 22:30:22,0.3,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.2; line=0.5; L10=3o/7u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Anthony Edwards,BLK,2026-05-04 22:30:22,0.7,0.2,None,None,None,None,13,side=over; rating=0; diff=0.2; line=0.5; L10=5o/5u/10g; streak=2u; opp_rank=13
bettingpros,NBA,Devin Vassell,BLK,2026-05-04 22:30:22,0.3,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.2; line=0.5; L10=6o/4u/10g; streak=5o; opp_rank=2
bettingpros,NBA,Stephon Castle,BLK,2026-05-04 22:30:22,0.3,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.2; line=0.5; L10=2o/8u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Dylan Harper,BLK,2026-05-04 22:30:22,0.3,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.2; line=0.5; L10=3o/7u/10g; streak=2u; opp_rank=2
bettingpros,NBA,Josh Hart,BLK,2026-05-04 22:30:22,0.3,0.2,None,None,None,None,20,side=under; rating=0; diff=-0.2; line=0.5; L10=0o/10u/10g; streak=22u; opp_rank=20
bettingpros,NBA,Tyrese Maxey,BLK,2026-05-04 22:30:22,0.7,0.2,None,None,None,None,7,side=over; rating=0; diff=0.2; line=0.5; L10=4o/6u/10g; streak=2u; opp_rank=7
bettingpros,NBA,Julian Champagnie,STL,2026-05-04 22:30:22,0.7,0.2,None,None,None,None,14,side=over; rating=0; diff=0.2; line=0.5; L10=5o/5u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Paul George,STL,2026-05-04 22:30:22,1.7,0.2,None,None,None,None,3,side=over; rating=0; diff=0.2; line=1.5; L10=5o/5u/10g; streak=1u; opp_rank=3
bettingpros,NBA,Jalen Brunson,STL,2026-05-04 22:30:22,0.7,0.2,None,None,None,None,2,side=over; rating=0; diff=0.2; line=0.5; L10=6o/4u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Tyrese Maxey,STL,2026-05-04 22:30:22,1.7,0.2,None,None,None,None,3,side=over; rating=0; diff=0.2; line=1.5; L10=3o/7u/10g; streak=1u; opp_rank=3
bettingpros,NBA,Quentin Grimes,STL,2026-05-04 22:30:22,0.7,0.2,None,None,None,None,3,side=over; rating=0; diff=0.2; line=0.5; L10=3o/7u/10g; streak=3u; opp_rank=3
bettingpros,NBA,Miles McBride,STL,2026-05-04 22:30:22,0.7,0.2,None,None,None,None,2,side=over; rating=0; diff=0.2; line=0.5; L10=6o/4u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Kelly Oubre Jr.,FG3M,2026-05-04 22:30:22,1.7,0.2,None,None,None,None,20,side=over; rating=0; diff=0.2; line=1.5; L10=3o/7u/10g; streak=5u; opp_rank=20
bettingpros,NBA,Jalen Brunson,FG3M,2026-05-04 22:30:22,2.7,0.2,None,None,None,None,18,side=over; rating=0; diff=0.2; line=2.5; L10=5o/5u/10g; streak=1u; opp_rank=18
bettingpros,NBA,Mike Conley,PR,2026-05-04 22:30:22,6.7,0.2,None,None,None,None,7,side=over; rating=0; diff=0.2; line=6.5; L10=5o/5u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Jaden McDaniels,PR,2026-05-04 22:30:22,20.2,0.2,None,None,None,None,7,side=over; rating=0; diff=0.2; line=19.5; L10=8o/2u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Mitchell Robinson,RA,2026-05-04 22:30:22,7.7,0.2,None,None,None,None,22,side=over; rating=0; diff=0.2; line=7.5; L10=3o/7u/10g; streak=2u; opp_rank=22
bettingpros,NBA,Victor Wembanyama,AST,2026-05-04 22:30:22,3.6,0.2,None,None,None,None,10,side=over; rating=0; diff=0.1; line=3.5; L10=4o/6u/10g; streak=4u; opp_rank=10
bettingpros,NBA,Stephon Castle,AST,2026-05-04 22:30:22,7.6,0.2,None,None,None,None,10,side=over; rating=0; diff=0.1; line=7.5; L10=5o/5u/10g; streak=1u; opp_rank=10
bettingpros,NBA,Joel Embiid,AST,2026-05-04 22:30:22,4.4,0.2,None,None,None,None,6,side=under; rating=0; diff=-0.1; line=4.5; L10=6o/4u/10g; streak=4o; opp_rank=6
bettingpros,NBA,Kelly Oubre Jr.,AST,2026-05-04 22:30:22,1.6,0.2,None,None,None,None,6,side=over; rating=0; diff=0.1; line=1.5; L10=2o/8u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Tyrese Maxey,AST,2026-05-04 22:30:22,6.6,0.2,None,None,None,None,6,side=over; rating=0; diff=0.1; line=6.5; L10=3o/7u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Luke Kornet,BLK,2026-05-04 22:30:22,0.6,0.2,None,None,None,None,2,side=over; rating=0; diff=0.1; line=0.5; L10=2o/8u/10g; streak=2u; opp_rank=2
bettingpros,NBA,Julian Champagnie,BLK,2026-05-04 22:30:22,0.4,0.2,None,None,None,None,2,side=under; rating=0; diff=-0.1; line=0.5; L10=5o/5u/10g; streak=3u; opp_rank=2
bettingpros,NBA,Paul George,BLK,2026-05-04 22:30:22,0.6,0.2,None,None,None,None,7,side=over; rating=0; diff=0.1; line=0.5; L10=3o/7u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Karl-Anthony Towns,BLK,2026-05-04 22:30:22,0.6,0.2,None,None,None,None,20,side=over; rating=0; diff=0.1; line=0.5; L10=7o/3u/10g; streak=2o; opp_rank=20
bettingpros,NBA,Jaden McDaniels,PTS,2026-05-04 22:30:22,15.6,0.2,None,None,None,None,6,side=over; rating=0; diff=0.1; line=15.5; L10=7o/3u/10g; streak=1o; opp_rank=6
bettingpros,NBA,Mitchell Robinson,PTS,2026-05-04 22:30:22,4.6,0.2,None,None,None,None,15,side=over; rating=0; diff=0.1; line=4.5; L10=8o/2u/10g; streak=3o; opp_rank=15
bettingpros,NBA,Naz Reid,REB,2026-05-04 22:30:22,6.1,0.2,None,None,None,None,8,side=over; rating=0; diff=0.1; line=5.5; L10=7o/3u/10g; streak=5o; opp_rank=8
bettingpros,NBA,Jaden McDaniels,REB,2026-05-04 22:30:22,4.6,0.2,None,None,None,None,8,side=over; rating=0; diff=0.1; line=4.5; L10=6o/4u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Stephon Castle,REB,2026-05-04 22:30:22,5.6,0.2,None,None,None,None,13,side=over; rating=0; diff=0.1; line=5.5; L10=5o/5u/10g; streak=3u; opp_rank=13
bettingpros,NBA,Joel Embiid,REB,2026-05-04 22:30:22,8.6,0.2,None,None,None,None,3,side=over; rating=0; diff=0.1; line=8.5; L10=6o/4u/10g; streak=2o; opp_rank=3
bettingpros,NBA,Josh Hart,REB,2026-05-04 22:30:22,8.6,0.2,None,None,None,None,22,side=over; rating=0; diff=0.1; line=8.5; L10=5o/5u/10g; streak=2u; opp_rank=22
bettingpros,NBA,Mike Conley,STL,2026-05-04 22:30:22,0.6,0.2,None,None,None,None,5,side=over; rating=0; diff=0.1; line=0.5; L10=7o/3u/10g; streak=1o; opp_rank=5
bettingpros,NBA,De'Aaron Fox,STL,2026-05-04 22:30:22,1.4,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.1; line=1.5; L10=3o/7u/10g; streak=3u; opp_rank=14
bettingpros,NBA,Keldon Johnson,STL,2026-05-04 22:30:22,0.6,0.2,None,None,None,None,14,side=over; rating=0; diff=0.1; line=0.5; L10=6o/4u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Joel Embiid,STL,2026-05-04 22:30:22,0.6,0.2,None,None,None,None,3,side=over; rating=0; diff=0.1; line=0.5; L10=3o/7u/10g; streak=1u; opp_rank=3
bettingpros,NBA,Mitchell Robinson,STL,2026-05-04 22:30:22,0.6,0.2,None,None,None,None,2,side=over; rating=0; diff=0.1; line=0.5; L10=6o/4u/10g; streak=3u; opp_rank=2
bettingpros,NBA,VJ Edgecombe,STL,2026-05-04 22:30:22,1.4,0.2,None,None,None,None,3,side=under; rating=0; diff=-0.1; line=1.5; L10=3o/7u/10g; streak=5u; opp_rank=3
bettingpros,NBA,Julius Randle,FG3M,2026-05-04 22:30:22,1.4,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.1; line=1.5; L10=5o/5u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Joel Embiid,FG3M,2026-05-04 22:30:22,1.6,0.2,None,None,None,None,20,side=over; rating=0; diff=0.1; line=1.5; L10=5o/5u/10g; streak=4u; opp_rank=20
bettingpros,NBA,Karl-Anthony Towns,FG3M,2026-05-04 22:30:22,1.6,0.2,None,None,None,None,18,side=over; rating=0; diff=0.1; line=1.5; L10=3o/7u/10g; streak=4u; opp_rank=18
bettingpros,NBA,OG Anunoby,FG3M,2026-05-04 22:30:22,2.6,0.2,None,None,None,None,18,side=over; rating=0; diff=0.1; line=2.5; L10=6o/4u/10g; streak=1o; opp_rank=18
bettingpros,NBA,Josh Hart,FG3M,2026-05-04 22:30:22,1.6,0.2,None,None,None,None,18,side=over; rating=0; diff=0.1; line=1.5; L10=2o/8u/10g; streak=1o; opp_rank=18
bettingpros,NBA,Jalen Brunson,PR,2026-05-04 22:30:22,29.6,0.2,None,None,None,None,19,side=over; rating=0; diff=0.1; line=29.5; L10=5o/5u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Jaden McDaniels,RA,2026-05-04 22:30:22,7.6,0.2,None,None,None,None,9,side=over; rating=0; diff=0.1; line=7.5; L10=6o/4u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Kelly Oubre Jr.,RA,2026-05-04 22:30:22,6.6,0.2,None,None,None,None,3,side=over; rating=0; diff=0.1; line=6.5; L10=5o/5u/10g; streak=3o; opp_rank=3
bettingpros,NBA,Tyrese Maxey,RA,2026-05-04 22:30:22,10.6,0.2,None,None,None,None,3,side=over; rating=0; diff=0.1; line=10.5; L10=3o/7u/10g; streak=1o; opp_rank=3
bettingpros,NBA,Jalen Brunson,PRA,2026-05-04 22:30:22,36.6,0.2,None,None,None,None,19,side=over; rating=0; diff=0.1; line=35.5; L10=5o/5u/10g; streak=1u; opp_rank=19
