source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Luguentz Dort,PTS,2026-05-07 22:30:39,8,0.2,None,None,None,None,11,side=over; rating=0; diff=0.5; line=6.5; L10=5o/5u/10g; streak=2u; opp_rank=11
bettingpros,NBA,Max Strus,PTS,2026-05-07 22:30:39,10,0.2,None,None,None,None,3,side=over; rating=0; diff=0.5; line=9.5; L10=5o/5u/10g; streak=2o; opp_rank=3
bettingpros,NBA,Austin Reaves,STL,2026-05-07 22:30:39,1,0.2,None,None,None,None,4,side=over; rating=0; diff=0.5; line=0.5; L10=5o/5u/10g; streak=4u; opp_rank=4
bettingpros,NBA,Jarrett Allen,STL,2026-05-07 22:30:39,1,0.2,None,None,None,None,24,side=over; rating=0; diff=0.5; line=0.5; L10=8o/2u/10g; streak=1u; opp_rank=24
bettingpros,NBA,Marcus Smart,FG3M,2026-05-07 22:30:39,2,0.2,None,None,None,None,28,side=over; rating=0; diff=0.5; line=1.5; L10=5o/5u/10g; streak=3o; opp_rank=28
bettingpros,NBA,Cason Wallace,FG3M,2026-05-07 22:30:39,1,0.2,None,None,None,None,10,side=under; rating=0; diff=-0.5; line=1.5; L10=4o/6u/10g; streak=1u; opp_rank=10
bettingpros,NBA,James Harden,FG3M,2026-05-07 22:30:39,3,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=2.5; L10=5o/5u/10g; streak=3u; opp_rank=8
bettingpros,NBA,Evan Mobley,FG3M,2026-05-07 22:30:39,1,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=0.5; L10=6o/4u/10g; streak=4o; opp_rank=8
bettingpros,NBA,Rui Hachimura,PA,2026-05-07 22:30:39,15,0.2,None,None,None,None,3,side=over; rating=0; diff=0.5; line=13.5; L10=9o/1u/10g; streak=2o; opp_rank=3
bettingpros,NBA,Jaylon Tyson,PA,2026-05-07 22:30:39,9,0.2,None,None,None,None,2,side=over; rating=0; diff=0.5; line=8.5; L10=6o/4u/10g; streak=1u; opp_rank=2
bettingpros,NBA,Jake LaRavia,PR,2026-05-07 22:30:39,8,0.2,None,None,None,None,6,side=over; rating=0; diff=0.5; line=6.5; L10=4o/6u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Chet Holmgren,RA,2026-05-07 22:30:39,11,0.2,None,None,None,None,7,side=over; rating=0; diff=0.5; line=10.5; L10=3o/7u/10g; streak=2o; opp_rank=7
bettingpros,NBA,James Harden,RA,2026-05-07 22:30:39,12,0.2,None,None,None,None,1,side=over; rating=0; diff=0.5; line=11.5; L10=4o/6u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Evan Mobley,RA,2026-05-07 22:30:39,12,0.2,None,None,None,None,1,side=over; rating=0; diff=0.5; line=11.5; L10=5o/5u/10g; streak=1o; opp_rank=1
