source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Keldon Johnson,PA,2026-05-08 22:40:52,11.6,0.2,None,None,None,None,12,side=over; rating=0; diff=1.1; line=10.5; L10=4o/6u/10g; streak=1u; opp_rank=12
bettingpros,NBA,Stephon Castle,PR,2026-05-08 22:40:52,23.6,0.2,None,None,None,None,13,side=over; rating=0; diff=1.1; line=21.5; L10=7o/3u/10g; streak=2o; opp_rank=13
bettingpros,NBA,Jose Alvarado,PRA,2026-05-08 22:40:52,5.4,0.2,None,None,None,None,19,side=under; rating=0; diff=-1.1; line=6.5; L10=6o/4u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Naz Reid,PTS,2026-05-08 22:40:52,13.5,0.2,None,None,None,None,6,side=over; rating=0; diff=1; line=12; L10=4o/4u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Devin Vassell,FG3M,2026-05-08 22:40:52,2.5,0.2,None,None,None,None,2,side=over; rating=0; diff=1; line=1.5; L10=6o/4u/10g; streak=2o; opp_rank=2
bettingpros,NBA,Paul George,FG3M,2026-05-08 22:40:52,3.5,0.2,None,None,None,None,19,side=over; rating=0; diff=1; line=2.5; L10=7o/3u/10g; streak=7o; opp_rank=19
bettingpros,NBA,Naz Reid,RA,2026-05-08 22:40:52,8.5,0.2,None,None,None,None,9,side=over; rating=0; diff=1; line=7.5; L10=6o/4u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Terrence Shannon Jr.,PRA,2026-05-08 22:40:52,13.5,0.2,None,None,None,None,7,side=under; rating=0; diff=-1; line=14.5; L10=7o/3u/10g; streak=4o; opp_rank=7
bettingpros,NBA,Kelly Oubre Jr.,PRA,2026-05-08 22:40:52,20.5,0.2,None,None,None,None,4,side=over; rating=0; diff=1; line=19; L10=4o/5u/10g; streak=1o; opp_rank=4
bettingpros,NBA,Paul George,AST,2026-05-08 22:40:52,4.4,0.2,None,None,None,None,5,side=over; rating=0; diff=0.9; line=3.5; L10=4o/6u/10g; streak=1o; opp_rank=5
bettingpros,NBA,Quentin Grimes,AST,2026-05-08 22:40:52,2.4,0.2,None,None,None,None,5,side=over; rating=0; diff=0.9; line=1.5; L10=7o/3u/10g; streak=4o; opp_rank=5
bettingpros,NBA,Keldon Johnson,REB,2026-05-08 22:40:52,4.4,0.2,None,None,None,None,14,side=over; rating=0; diff=0.9; line=3.5; L10=8o/2u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Quentin Grimes,FG3M,2026-05-08 22:40:52,1.4,0.2,None,None,None,None,19,side=over; rating=0; diff=0.9; line=0.5; L10=6o/4u/10g; streak=2o; opp_rank=19
bettingpros,NBA,Keldon Johnson,RA,2026-05-08 22:40:52,5.4,0.2,None,None,None,None,13,side=over; rating=0; diff=0.9; line=4.5; L10=8o/2u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Jordan Clarkson,RA,2026-05-08 22:40:52,1.6,0.2,None,None,None,None,22,side=under; rating=0; diff=-0.9; line=2.5; L10=6o/4u/10g; streak=1o; opp_rank=22
bettingpros,NBA,Ayo Dosunmu,AST,2026-05-08 22:40:52,3.3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.8; line=2.5; L10=5o/5u/10g; streak=1u; opp_rank=9
bettingpros,NBA,VJ Edgecombe,AST,2026-05-08 22:40:52,4.3,0.2,None,None,None,None,5,side=over; rating=0; diff=0.8; line=3.5; L10=2o/8u/10g; streak=2u; opp_rank=5
bettingpros,NBA,Mitchell Robinson,REB,2026-05-08 22:40:52,6.7,0.2,None,None,None,None,21,side=under; rating=0; diff=-0.8; line=7.5; L10=3o/7u/10g; streak=3u; opp_rank=21
bettingpros,NBA,Tyrese Maxey,REB,2026-05-08 22:40:52,4.3,0.2,None,None,None,None,3,side=over; rating=0; diff=0.8; line=3.5; L10=4o/6u/10g; streak=2u; opp_rank=3
bettingpros,NBA,Julian Champagnie,FG3M,2026-05-08 22:40:52,2.3,0.2,None,None,None,None,2,side=over; rating=0; diff=0.8; line=1.5; L10=7o/3u/10g; streak=7o; opp_rank=2
