source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Jarrett Allen,REB,2026-05-15 11:26:54,8.2,0.2,None,None,None,None,4,side=over; rating=0; diff=0.7; line=7.5; L10=3o/7u/10g; streak=1o; opp_rank=4
bettingpros,NBA,Victor Wembanyama,FG3M,2026-05-15 11:26:54,1.8,0.2,None,None,None,None,1,side=under; rating=0; diff=-0.7; line=2.5; L10=2o/8u/10g; streak=2u; opp_rank=1
bettingpros,NBA,Donovan Mitchell,FG3M,2026-05-15 11:26:54,3.2,0.2,None,None,None,None,8,side=over; rating=0; diff=0.7; line=2.5; L10=4o/6u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Duncan Robinson,PA,2026-05-15 11:26:54,14.2,0.2,None,None,None,None,14,side=over; rating=0; diff=0.7; line=12.5; L10=8o/2u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Cade Cunningham,PR,2026-05-15 11:26:54,30.8,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.7; line=32.5; L10=6o/4u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Julian Champagnie,RA,2026-05-15 11:26:54,7.2,0.2,None,None,None,None,14,side=over; rating=0; diff=0.7; line=6.5; L10=6o/4u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Dean Wade,RA,2026-05-15 11:26:54,5.2,0.2,None,None,None,None,1,side=over; rating=0; diff=0.7; line=4.5; L10=7o/3u/10g; streak=2o; opp_rank=1
bettingpros,NBA,Daniss Jenkins,RA,2026-05-15 11:26:54,6.2,0.2,None,None,None,None,15,side=over; rating=0; diff=0.7; line=5.5; L10=5o/5u/10g; streak=1u; opp_rank=15
bettingpros,NBA,Anthony Edwards,PRA,2026-05-15 11:26:54,38.2,0.2,None,None,None,None,7,side=over; rating=0; diff=0.7; line=36.5; L10=4o/6u/10g; streak=1u; opp_rank=7
bettingpros,NBA,Duncan Robinson,AST,2026-05-15 11:26:54,2.1,0.2,None,None,None,None,16,side=over; rating=0; diff=0.6; line=1.5; L10=7o/3u/10g; streak=1u; opp_rank=16
bettingpros,NBA,Jalen Duren,AST,2026-05-15 11:26:54,2.1,0.2,None,None,None,None,16,side=over; rating=0; diff=0.6; line=1.5; L10=6o/4u/10g; streak=2o; opp_rank=16
bettingpros,NBA,Ausar Thompson,AST,2026-05-15 11:26:54,3.1,0.2,None,None,None,None,16,side=over; rating=0; diff=0.6; line=2.5; L10=7o/3u/10g; streak=1o; opp_rank=16
bettingpros,NBA,Evan Mobley,BLK,2026-05-15 11:26:54,2.1,0.2,None,None,None,None,30,side=over; rating=0; diff=0.6; line=2; L10=4o/4u/10g; streak=3o; opp_rank=30
bettingpros,NBA,Ausar Thompson,BLK,2026-05-15 11:26:54,0.9,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.6; line=1.5; L10=7o/3u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Naz Reid,PTS,2026-05-15 11:26:54,13.1,0.2,None,None,None,None,6,side=over; rating=0; diff=0.6; line=12.5; L10=4o/6u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Carter Bryant,PTS,2026-05-15 11:26:54,4.1,0.2,None,None,None,None,13,side=over; rating=0; diff=0.6; line=3.5; L10=4o/6u/10g; streak=2u; opp_rank=13
