source,league,player,stat,asof_ts,projection,confidence,notes
rotowire,NBA,Jalen Brunson,PTS,2026-02-10 14:37:14,24.90834211386209,1.0,
rotowire,NBA,Jalen Brunson,RA,2026-02-10 14:37:14,11.15446575481468,1.0,
rotowire,NBA,Jalen Duren,PA,2026-02-10 14:37:14,15.458364882329494,1.0,
rotowire,NBA,Jalen Duren,PR,2026-02-10 14:37:14,24.63019352010843,1.0,
rotowire,NBA,Jalen Duren,PRA,2026-02-10 14:37:14,27.271593264717875,1.0,
rotowire,NBA,Jalen Duren,PTS,2026-02-10 14:37:14,12.81696513772005,1.0,
rotowire,NBA,Jalen Duren,RA,2026-02-10 14:37:14,14.454628126997825,1.0,
rotowire,NBA,Jalen Duren,REB,2026-02-10 14:37:14,11.813228382388381,1.0,
rotowire,NBA,Jalen Green,PA,2026-02-10 14:37:14,14.324652896514174,1.0,
rotowire,NBA,Jalen Green,PR,2026-02-10 14:37:14,15.274249230927126,1.0,
rotowire,NBA,Jalen Green,PRA,2026-02-10 14:37:14,17.32638115583614,1.0,
rotowire,NBA,Jalen Green,PTS,2026-02-10 14:37:14,12.27252097160516,1.0,
rotowire,NBA,Jalen Johnson,FG3M,2026-02-10 14:37:14,1.394490177889267,1.0,
rotowire,NBA,Jalen Johnson,PA,2026-02-10 14:37:14,28.391269221826015,1.0,
rotowire,NBA,Jalen Johnson,PR,2026-02-10 14:37:14,31.717882553649808,1.0,
rotowire,NBA,Jalen Johnson,PRA,2026-02-10 14:37:14,39.17606611073181,1.0,
rotowire,NBA,Jalen Johnson,PTS,2026-02-10 14:37:14,20.933085664744013,1.0,
rotowire,NBA,Jalen Johnson,RA,2026-02-10 14:37:14,18.242980445987797,1.0,
rotowire,NBA,Jalen Johnson,REB,2026-02-10 14:37:14,10.784796888905795,1.0,
rotowire,NBA,Jalen Pickett,PA,2026-02-10 14:37:14,7.759986405546102,1.0,
