projection_id,player,stat,line,tag,team,opp,home,game_date,direction
11785105,Jalen Suggs,PRA,23.5,,ORL,DET,1,2026-05-01,OVER
11785105,Jalen Suggs,PRA,23.5,,ORL,DET,1,2026-05-01,UNDER
11787133,Jalen Duren,PRA,23.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11787133,Jalen Duren,PRA,23.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11802671,Wendell Carter,PR,23.5,DEMON,ORL,DET,1,2026-05-01,OVER
11802671,Wendell Carter,PR,23.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784267,Tobias Harris,PR,23.0,,DET,ORL,0,2026-05-01,OVER
11784267,Tobias Harris,PR,23.0,,DET,ORL,0,2026-05-01,UNDER
11785040,Ausar Thompson,PRA,22.5,DEMON,DET,ORL,0,2026-05-01,OVER
11785040,Ausar Thompson,PRA,22.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11785065,Desmond Bane,PRA,22.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11785065,Desmond Bane,PRA,22.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11785082,Duncan Robinson,PRA,22.5,DEMON,DET,ORL,0,2026-05-01,OVER
11785082,Duncan Robinson,PRA,22.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11785093,Jalen Duren,PRA,22.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11785093,Jalen Duren,PRA,22.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11785123,Tobias Harris,PRA,22.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11785123,Tobias Harris,PRA,22.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11785969,Desmond Bane,PTS,22.5,DEMON,ORL,DET,1,2026-05-01,OVER
11785969,Desmond Bane,PTS,22.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11788872,Desmond Bane,PR,22.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11788872,Desmond Bane,PR,22.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11802655,Desmond Bane,PA,22.5,,ORL,DET,1,2026-05-01,OVER
11802655,Desmond Bane,PA,22.5,,ORL,DET,1,2026-05-01,UNDER
11802660,Jalen Suggs,PA,22.5,DEMON,ORL,DET,1,2026-05-01,OVER
11802660,Jalen Suggs,PA,22.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11802672,Wendell Carter,PR,22.5,DEMON,ORL,DET,1,2026-05-01,OVER
11802672,Wendell Carter,PR,22.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11784286,Wendell Carter,PRA,21.5,,ORL,DET,1,2026-05-01,OVER
11784286,Wendell Carter,PRA,21.5,,ORL,DET,1,2026-05-01,UNDER
11786019,Paolo Banchero,PTS,21.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11786019,Paolo Banchero,PTS,21.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
11786025,Tobias Harris,PTS,21.5,DEMON,DET,ORL,0,2026-05-01,OVER
11786025,Tobias Harris,PTS,21.5,DEMON,DET,ORL,0,2026-05-01,UNDER
11788864,Anthony Black,PRA,21.5,DEMON,ORL,DET,1,2026-05-01,OVER
11788864,Anthony Black,PRA,21.5,DEMON,ORL,DET,1,2026-05-01,UNDER
11788877,Jalen Duren,PR,21.5,GOBLIN,DET,ORL,0,2026-05-01,OVER
11788877,Jalen Duren,PR,21.5,GOBLIN,DET,ORL,0,2026-05-01,UNDER
11788881,Jalen Suggs,PRA,21.5,GOBLIN,ORL,DET,1,2026-05-01,OVER
11788881,Jalen Suggs,PRA,21.5,GOBLIN,ORL,DET,1,2026-05-01,UNDER
