"projection_id","control_p_adj","variant_p_adj","delta_p_adj","control_hit_prob","variant_hit_prob","delta_hit_prob","control_ev_mult","variant_ev_mult","delta_ev_mult","control_role_ctx_mult","variant_role_ctx_mult","delta_role_ctx_mult"
"9838599","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9844422","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9833920","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834249","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838229","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838436","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838518","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838552","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838590","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9840699","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9843932","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9844466","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9846206","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9833912","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834275","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838456","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838471","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9838490","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9843925","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9845101","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834246","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834257","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834259","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834272","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834276","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834303","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834338","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9834347","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837279","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837290","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
"9837293","0.5","0.5","0","0.5","0.5","0","1","1","0","1","1","0"
