game_date,player,team,opp,minutes,pts,reb,ast,fg3m,fga,fta,tov,usg_proxy
10/4/2025,Garrison Brooks,NO,Pnx,7,0,3,1,0,0,0,1,0.142857
10/4/2025,Hunter Dickinson,NO,Pnx,7,4,3,1,0,3,0,0,0.428571
10/4/2025,Yves Missi,NO,Pnx,20,10,6,3,0,6,0,0,0.3
10/4/2025,Jose Alvarado,NO,Pnx,12,0,1,4,0,1,0,2,0.25
10/4/2025,Jaden Springer,NO,Pnx,8,5,4,2,1,4,0,1,0.625
10/4/2025,Micah Peavy,NO,Pnx,23,8,3,1,2,7,0,0,0.304348
10/4/2025,Trey Alexander,NO,Pnx,15,7,0,2,0,2,6,1,0.376
10/4/2025,Bryce McGowens,NO,Pnx,12,1,2,2,0,1,2,0,0.156667
10/4/2025,Jordan Hawkins,NO,Pnx,20,14,0,0,2,13,0,1,0.7
10/5/2025,Jaylin Williams,OKC,CHA,22,17,2,3,5,9,0,2,0.5
10/5/2025,Ousmane Dieng,OKC,CHA,33,17,8,6,3,14,0,2,0.484848
10/5/2025,Isaiah Joe,OKC,CHA,20,7,6,2,0,7,3,0,0.416
10/5/2025,Aaron Wiggins,OKC,CHA,25,23,2,6,2,14,1,3,0.6976
10/5/2025,Nikola Topic,OKC,CHA,31,10,4,7,0,9,2,3,0.415484
10/5/2025,Brooks Barnhizer,OKC,CHA,25,6,3,1,0,2,5,0,0.168
10/5/2025,Zack Austin,OKC,CHA,12,2,2,0,0,1,2,1,0.24
10/5/2025,Malevy Leons,OKC,CHA,23,11,11,1,3,7,2,2,0.429565
10/5/2025,Branden Carlson,OKC,CHA,11,7,3,2,1,8,0,0,0.727273
10/5/2025,Chris Youngblood,OKC,CHA,21,20,3,1,5,11,4,1,0.655238
10/5/2025,Jazian Gortman,OKC,CHA,17,15,0,4,1,12,0,0,0.705882
10/5/2025,Miles Bridges,CHA,OKC,16,7,8,3,1,6,0,1,0.4375
10/5/2025,Moussa Diabate,CHA,OKC,13,7,4,0,0,5,3,0,0.486154
10/5/2025,Brandon Miller,CHA,OKC,16,8,0,1,0,10,2,2,0.805
10/5/2025,LaMelo Ball,CHA,OKC,15,11,2,3,3,7,0,1,0.533333
10/5/2025,Kon Knueppel,CHA,OKC,23,18,2,2,4,13,2,0,0.603478
10/5/2025,Drew Peterson,CHA,OKC,5,2,1,1,0,3,0,0,0.6
10/5/2025,Tidjane Salaun,CHA,OKC,24,6,6,0,2,10,0,2,0.5
10/5/2025,Ryan Kalkbrenner,CHA,OKC,25,11,7,0,0,6,5,1,0.368
10/5/2025,Ibou Badji,CHA,OKC,11,2,3,0,0,1,2,0,0.170909
10/5/2025,Spencer Dinwiddie,CHA,OKC,11,0,0,2,0,3,0,1,0.363636
10/5/2025,Pat Connaughton,CHA,OKC,9,3,3,0,1,4,0,2,0.666667
10/5/2025,Collin Sexton,CHA,OKC,17,11,1,2,0,6,7,1,0.592941
10/5/2025,Tre Mann,CHA,OKC,17,7,5,5,1,7,0,1,0.470588
10/5/2025,Sion James,CHA,OKC,10,4,3,0,0,1,2,0,0.188
10/5/2025,KJ Simpson,CHA,OKC,12,10,0,2,3,6,2,3,0.823333
10/5/2025,Liam McNeeley,CHA,OKC,16,7,2,2,0,6,5,2,0.6375
10/5/2025,Rui Hachimura,LAL,GS,19,4,3,1,0,4,0,1,0.263158
10/5/2025,Jarred Vanderbilt,LAL,GS,21,9,7,4,1,8,1,3,0.544762
10/5/2025,Jake LaRavia,LAL,GS,20,10,0,3,0,10,0,2,0.6
10/5/2025,Deandre Ayton,LAL,GS,21,7,7,0,0,8,2,1,0.470476
10/5/2025,Gabe Vincent,LAL,GS,19,16,0,5,3,9,5,2,0.694737
10/5/2025,Anton Watson,LAL,GS,7,3,0,1,1,1,0,0,0.142857
10/5/2025,Dalton Knecht,LAL,GS,34,12,6,3,2,11,4,0,0.375294
10/5/2025,Jaxson Hayes,LAL,GS,16,8,6,2,0,8,1,0,0.5275
10/5/2025,Christian Koloko,LAL,GS,11,4,2,0,1,1,2,0,0.170909
10/5/2025,Nate Williams,LAL,GS,19,5,6,0,1,8,0,2,0.526316
10/5/2025,RJ Davis,LAL,GS,19,11,1,1,1,2,8,2,0.395789
10/5/2025,Nick Smith Jr.,LAL,GS,12,9,2,2,1,8,4,0,0.813333
10/5/2025,Bronny James,LAL,GS,23,5,3,3,1,6,0,5,0.478261
10/5/2025,Jimmy Butler III,GS,LAL,15,9,4,2,0,4,4,2,0.517333
10/5/2025,Draymond Green,GS,LAL,14,2,3,5,0,6,0,3,0.642857
10/5/2025,Stephen Curry,GS,LAL,15,14,1,2,3,7,1,1,0.562667
10/5/2025,Moses Moody,GS,LAL,15,19,0,1,5,9,0,1,0.666667
10/5/2025,Brandin Podziemski,GS,LAL,18,8,1,4,2,5,2,2,0.437778
10/5/2025,Jackson Rowe,GS,LAL,8,0,5,0,0,1,0,2,0.375
10/5/2025,Trayce Jackson-Davis,GS,LAL,13,4,4,2,0,1,2,1,0.221538
10/5/2025,Jonathan Kuminga,GS,LAL,15,5,6,4,1,3,2,1,0.325333
10/5/2025,Gui Santos,GS,LAL,15,5,2,3,0,4,2,2,0.458667
10/5/2025,Al Horford,GS,LAL,14,3,4,3,1,3,0,0,0.214286
10/5/2025,Marques Bolden,GS,LAL,3,2,1,0,0,4,0,0,1.333333
10/5/2025,Quinten Post,GS,LAL,16,7,3,0,1,5,2,1,0.43
10/5/2025,Buddy Hield,GS,LAL,18,11,2,3,1,10,0,0,0.555556
10/5/2025,Gary Payton II,GS,LAL,11,7,0,0,1,3,0,0,0.272727
10/5/2025,Taevion Kinsey,GS,LAL,6,0,2,0,0,1,0,0,0.166667
10/5/2025,LJ Cryer,GS,LAL,9,0,1,1,0,6,0,0,0.666667
10/5/2025,Pat Spencer,GS,LAL,21,12,3,4,1,7,6,1,0.506667
10/5/2025,Will Richard,GS,LAL,15,3,2,1,1,5,0,1,0.4
10/6/2025,Kyle Kuzma,MIL,MIA,17,2,8,1,0,6,0,1,0.411765
10/6/2025,Myles Turner,MIL,MIA,15,8,2,0,0,3,5,1,0.413333
10/6/2025,Gary Trent Jr.,MIL,MIA,13,11,0,2,1,6,6,0,0.664615
10/6/2025,Kevin Porter Jr.,MIL,MIA,15,10,2,4,0,7,1,0,0.496
10/6/2025,AJ Green,MIL,MIA,17,9,2,0,3,8,0,0,0.470588
10/6/2025,Taurean Prince,MIL,MIA,11,5,0,0,1,1,2,2,0.352727
