projection_id,source_projection_id,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at
10089455|Oso Ighodaro|PR|GOBLIN|9.5|OVER,10089455,Oso Ighodaro,PHX,PR,PTS+REBS,1,9.5,OVER,GOBLIN,1,0,9.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-24T09:11:40.975000+00:00
10067984|Anthony Black|AST|DEMON|6.5|OVER,10067984,Anthony Black,ORL,AST,ASSISTS,1,6.5,OVER,DEMON,1,0,6.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T09:01:57.089000+00:00
10089190|Jalen Suggs|PA|GOBLIN|14.5|OVER,10089190,Jalen Suggs,ORL,PA,PTS+ASTS,1,14.5,OVER,GOBLIN,1,0,14.5,0,0,goblin,2026-02-24T22:40:00.000-05:00,2026-02-24T09:00:43.427000+00:00
10086947|Scoot Henderson|REB|GOBLIN|2.5|OVER,10086947,Scoot Henderson,POR,REB,REBOUNDS,1,2.5,OVER,GOBLIN,1,0,2.5,0,0,goblin,2026-02-24T22:10:00.000-05:00,2026-02-24T08:58:55.371000+00:00
10089195|Wendell Carter|PTS|GOBLIN|7.5|OVER,10089195,Wendell Carter,ORL,PTS,POINTS,1,7.5,OVER,GOBLIN,1,0,7.5,0,0,goblin,2026-02-24T22:40:00.000-05:00,2026-02-24T08:57:39.631000+00:00
10068046|Luka Dončić|PR|DEMON|44.5|OVER,10068046,Luka Dončić,LAL,PR,PTS+REBS,1,44.5,OVER,DEMON,1,0,44.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T08:56:11.341000+00:00
10086551|Donte DiVincenzo|FG3M|DEMON|4.5|OVER,10086551,Donte DiVincenzo,MIN,FG3M,3-PT MADE,1,4.5,OVER,DEMON,1,0,4.5,0,0,demon,2026-02-24T22:10:00.000-05:00,2026-02-24T08:54:57.111000+00:00
10091490|Marcus Smart|STL|DEMON|2.5|OVER,10091490,Marcus Smart,LAL,STL,STEALS,1,2.5,OVER,DEMON,1,0,2.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T08:52:38.519000+00:00
10088763|Naz Reid|PR|GOBLIN|14.5|OVER,10088763,Naz Reid,MIN,PR,PTS+REBS,1,14.5,OVER,GOBLIN,1,0,14.5,0,0,goblin,2026-02-24T22:10:00.000-05:00,2026-02-24T08:49:31.383000+00:00
10077499|Jalen Suggs|PTS|DEMON|17.5|OVER,10077499,Jalen Suggs,ORL,PTS,POINTS,1,17.5,OVER,DEMON,1,0,17.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T08:39:56.079000+00:00
10089239|Ryan Dunn|REB|GOBLIN|3.5|OVER,10089239,Ryan Dunn,PHX,REB,REBOUNDS,1,3.5,OVER,GOBLIN,1,0,3.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-24T08:37:36.488000+00:00
10091319|Jalen Suggs|PA|DEMON|29.5|OVER,10091319,Jalen Suggs,ORL,PA,PTS+ASTS,1,29.5,OVER,DEMON,1,0,29.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T08:37:21.709000+00:00
10065809|Collin Gillespie|FG3M|DEMON|5.5|OVER,10065809,Collin Gillespie,PHX,FG3M,3-PT MADE,1,5.5,OVER,DEMON,1,0,5.5,0,0,demon,2026-02-24T21:10:00.000-05:00,2026-02-24T08:35:55.716000+00:00
10086596|Jaden McDaniels|AST|DEMON|3.5|OVER,10086596,Jaden McDaniels,MIN,AST,ASSISTS,1,3.5,OVER,DEMON,1,0,3.5,0,0,demon,2026-02-24T22:10:00.000-05:00,2026-02-24T08:34:35.896000+00:00
10077489|Jalen Suggs|AST|DEMON|8.5|OVER,10077489,Jalen Suggs,ORL,AST,ASSISTS,1,8.5,OVER,DEMON,1,0,8.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T08:32:40.029000+00:00
10086467|Anthony Edwards|STL|STANDARD|1.5|OVER,10086467,Anthony Edwards,MIN,STL,STEALS,1,1.5,OVER,STANDARD,1,0,1.5,0,0,standard,2026-02-24T22:10:00.000-05:00,2026-02-24T08:31:11.790000+00:00
10086467|Anthony Edwards|STL|STANDARD|1.5|UNDER,10086467,Anthony Edwards,MIN,STL,STEALS,1,1.5,UNDER,STANDARD,0,1,1.5,0,0,standard,2026-02-24T22:10:00.000-05:00,2026-02-24T08:31:11.790000+00:00
10077590|Luke Kennard|REB|DEMON|3.5|OVER,10077590,Luke Kennard,LAL,REB,REBOUNDS,1,3.5,OVER,DEMON,1,0,3.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T08:30:52.605000+00:00
10077519|Jalen Suggs|STL|STANDARD|1.5|OVER,10077519,Jalen Suggs,ORL,STL,STEALS,1,1.5,OVER,STANDARD,1,0,1.5,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T08:26:31.387000+00:00
10077519|Jalen Suggs|STL|STANDARD|1.5|UNDER,10077519,Jalen Suggs,ORL,STL,STEALS,1,1.5,UNDER,STANDARD,0,1,1.5,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-24T08:26:31.387000+00:00
10087010|Toumani Camara|PTS|GOBLIN|11.5|OVER,10087010,Toumani Camara,POR,PTS,POINTS,1,11.5,OVER,GOBLIN,1,0,11.5,0,0,goblin,2026-02-24T22:10:00.000-05:00,2026-02-24T08:23:52.345000+00:00
10089327|Moritz Wagner|PR|DEMON|14.5|OVER,10089327,Moritz Wagner,ORL,PR,PTS+REBS,1,14.5,OVER,DEMON,1,0,14.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-24T08:22:02.976000+00:00
10087023|Toumani Camara|REB|GOBLIN|4.5|OVER,10087023,Toumani Camara,POR,REB,REBOUNDS,1,4.5,OVER,GOBLIN,1,0,4.5,0,0,goblin,2026-02-24T22:10:00.000-05:00,2026-02-24T08:16:53.014000+00:00
10086491|Ayo Dosunmu|PR|STANDARD|15.5|OVER,10086491,Ayo Dosunmu,MIN,PR,PTS+REBS,1,15.5,OVER,STANDARD,1,0,15.5,0,0,standard,2026-02-24T22:10:00.000-05:00,2026-02-24T08:14:46.688000+00:00
