team,out_player,beneficiary_player,stat,games,weight,team_u,stat_u,out_canon,ben_canon
CHI,Jalen Smith,Lachlan Olbrich,PTS,28,0.0007858319332098839,CHI,PTS,jalen smith,lachlan olbrich
CHI,Jalen Smith,Lachlan Olbrich,REB,28,0.0017479256589786867,CHI,REB,jalen smith,lachlan olbrich
CHI,Jalen Smith,Leonard Miller,AST,20,0.0014919471461893265,CHI,AST,jalen smith,leonard miller
CHI,Jalen Smith,Leonard Miller,PTS,20,0.0038106313700576096,CHI,PTS,jalen smith,leonard miller
CHI,Jalen Smith,Leonard Miller,REB,20,0.007046175530688492,CHI,REB,jalen smith,leonard miller
CHI,Jalen Smith,Matas Buzelis,AST,43,0.0027760974898161637,CHI,AST,jalen smith,matas buzelis
CHI,Jalen Smith,Matas Buzelis,PTS,43,0.007038386287279748,CHI,PTS,jalen smith,matas buzelis
CHI,Jalen Smith,Matas Buzelis,REB,43,0.011932814183558182,CHI,REB,jalen smith,matas buzelis
CHI,Jalen Smith,Nick Richards,AST,20,0.0015899826667222883,CHI,AST,jalen smith,nick richards
CHI,Jalen Smith,Nick Richards,PTS,20,0.004282742351509131,CHI,PTS,jalen smith,nick richards
CHI,Jalen Smith,Nick Richards,REB,20,0.009064962640046763,CHI,REB,jalen smith,nick richards
CHI,Jalen Smith,Nikola Vucevic,AST,38,0.003251029771165516,CHI,AST,jalen smith,nikola vucevic
CHI,Jalen Smith,Nikola Vucevic,PTS,38,0.007451887437593567,CHI,PTS,jalen smith,nikola vucevic
CHI,Jalen Smith,Nikola Vucevic,REB,38,0.013917247055816888,CHI,REB,jalen smith,nikola vucevic
CHI,Jalen Smith,Patrick Williams,AST,43,0.0014203485384255085,CHI,AST,jalen smith,patrick williams
CHI,Jalen Smith,Patrick Williams,PTS,43,0.0032628817307521043,CHI,PTS,jalen smith,patrick williams
CHI,Jalen Smith,Patrick Williams,REB,43,0.005808543995218865,CHI,REB,jalen smith,patrick williams
CHI,Jalen Smith,Rob Dillingham,AST,23,0.001838469677968103,CHI,AST,jalen smith,rob dillingham
CHI,Jalen Smith,Rob Dillingham,PTS,23,0.003665996064157235,CHI,PTS,jalen smith,rob dillingham
CHI,Jalen Smith,Rob Dillingham,REB,23,0.006082511231706239,CHI,REB,jalen smith,rob dillingham
CHI,Jalen Smith,Tre Jones,AST,43,0.0029925476782362704,CHI,AST,jalen smith,tre jones
CHI,Jalen Smith,Tre Jones,PTS,43,0.005763759848283358,CHI,PTS,jalen smith,tre jones
CHI,Jalen Smith,Tre Jones,REB,43,0.008899391075061937,CHI,REB,jalen smith,tre jones
CHI,Jalen Smith,Yuki Kawamura,AST,11,0.000996513841154463,CHI,AST,jalen smith,yuki kawamura
CHI,Jalen Smith,Yuki Kawamura,PTS,11,0.0014588807306230712,CHI,PTS,jalen smith,yuki kawamura
CHI,Jalen Smith,Yuki Kawamura,REB,11,0.002772323383212484,CHI,REB,jalen smith,yuki kawamura
CHI,Zach Collins,Ayo Dosunmu,AST,10,0.0035788645561809188,CHI,AST,zach collins,ayo dosunmu
CHI,Zach Collins,Ayo Dosunmu,PTS,10,0.00606833907563954,CHI,PTS,zach collins,ayo dosunmu
CHI,Zach Collins,Ayo Dosunmu,REB,10,0.008185510208628738,CHI,REB,zach collins,ayo dosunmu
CHI,Zach Collins,Coby White,AST,10,0.004246719184831923,CHI,AST,zach collins,coby white
CHI,Zach Collins,Coby White,PTS,10,0.00718133681011481,CHI,PTS,zach collins,coby white
CHI,Zach Collins,Coby White,REB,10,0.009559901411056561,CHI,REB,zach collins,coby white
CHI,Zach Collins,Collin Sexton,AST,10,0.0030266113014384886,CHI,AST,zach collins,collin sexton
CHI,Zach Collins,Collin Sexton,PTS,10,0.0057997584835814,CHI,PTS,zach collins,collin sexton
CHI,Zach Collins,Collin Sexton,REB,10,0.0071470087938044005,CHI,REB,zach collins,collin sexton
CHI,Zach Collins,Dalen Terry,AST,10,0.0011257134921026154,CHI,AST,zach collins,dalen terry
CHI,Zach Collins,Dalen Terry,PTS,10,0.0017593465106580989,CHI,PTS,zach collins,dalen terry
CHI,Zach Collins,Dalen Terry,REB,10,0.0029288083844171554,CHI,REB,zach collins,dalen terry
CHI,Zach Collins,Emanuel Miller,AST,5,0.0005199308923345193,CHI,AST,zach collins,emanuel miller
CHI,Zach Collins,Emanuel Miller,PTS,5,0.0008503355091847744,CHI,PTS,zach collins,emanuel miller
CHI,Zach Collins,Emanuel Miller,REB,5,0.0011465301113708238,CHI,REB,zach collins,emanuel miller
CHI,Zach Collins,Guerschon Yabusele,AST,10,0.002796453767289309,CHI,AST,zach collins,guerschon yabusele
CHI,Zach Collins,Guerschon Yabusele,PTS,10,0.005018464382238955,CHI,PTS,zach collins,guerschon yabusele
CHI,Zach Collins,Guerschon Yabusele,REB,10,0.008314122070717755,CHI,REB,zach collins,guerschon yabusele
CHI,Zach Collins,Isaac Okoro,AST,10,0.00318660580443699,CHI,AST,zach collins,isaac okoro
CHI,Zach Collins,Isaac Okoro,PTS,10,0.005766780271188923,CHI,PTS,zach collins,isaac okoro
CHI,Zach Collins,Isaac Okoro,REB,10,0.008484308949828183,CHI,REB,zach collins,isaac okoro
CHI,Zach Collins,Jaden Ivey,AST,4,0.004269009878307458,CHI,AST,zach collins,jaden ivey
CHI,Zach Collins,Jaden Ivey,PTS,4,0.006463219525501725,CHI,PTS,zach collins,jaden ivey
CHI,Zach Collins,Jaden Ivey,REB,4,0.010412815855009111,CHI,REB,zach collins,jaden ivey
CHI,Zach Collins,Jevon Carter,AST,10,0.0009038746927309838,CHI,AST,zach collins,jevon carter
CHI,Zach Collins,Jevon Carter,PTS,10,0.0016934238587434961,CHI,PTS,zach collins,jevon carter
CHI,Zach Collins,Jevon Carter,REB,10,0.002303878976478713,CHI,REB,zach collins,jevon carter
CHI,Zach Collins,Josh Giddey,AST,10,0.006132876997028819,CHI,AST,zach collins,josh giddey
CHI,Zach Collins,Josh Giddey,PTS,10,0.007850683968990326,CHI,PTS,zach collins,josh giddey
CHI,Zach Collins,Josh Giddey,REB,10,0.012858509072427532,CHI,REB,zach collins,josh giddey
CHI,Zach Collins,Julian Phillips,AST,10,0.0007578063699104461,CHI,AST,zach collins,julian phillips
CHI,Zach Collins,Julian Phillips,PTS,10,0.0014641986201751874,CHI,PTS,zach collins,julian phillips
CHI,Zach Collins,Julian Phillips,REB,10,0.002270096149153906,CHI,REB,zach collins,julian phillips
CHI,Zach Collins,Kevin Huerter,AST,10,0.002648261744285347,CHI,AST,zach collins,kevin huerter
CHI,Zach Collins,Kevin Huerter,PTS,10,0.0045320249361480314,CHI,PTS,zach collins,kevin huerter
CHI,Zach Collins,Kevin Huerter,REB,10,0.006921076754567153,CHI,REB,zach collins,kevin huerter
CHI,Zach Collins,Lachlan Olbrich,AST,10,0.0005137572700153341,CHI,AST,zach collins,lachlan olbrich
CHI,Zach Collins,Lachlan Olbrich,PTS,10,0.000798046157753808,CHI,PTS,zach collins,lachlan olbrich
CHI,Zach Collins,Lachlan Olbrich,REB,10,0.0015765447117826435,CHI,REB,zach collins,lachlan olbrich
CHI,Zach Collins,Leonard Miller,AST,10,0.001990808082682842,CHI,AST,zach collins,leonard miller
CHI,Zach Collins,Leonard Miller,PTS,10,0.0038698602016194517,CHI,PTS,zach collins,leonard miller
CHI,Zach Collins,Leonard Miller,REB,10,0.006355310773165243,CHI,REB,zach collins,leonard miller
CHI,Zach Collins,Matas Buzelis,AST,10,0.0037043385452075776,CHI,AST,zach collins,matas buzelis
CHI,Zach Collins,Matas Buzelis,PTS,10,0.0071477842729133385,CHI,PTS,zach collins,matas buzelis
CHI,Zach Collins,Matas Buzelis,REB,10,0.010762823350717208,CHI,REB,zach collins,matas buzelis
CHI,Zach Collins,Nick Richards,AST,10,0.0021216236462003133,CHI,AST,zach collins,nick richards
CHI,Zach Collins,Nick Richards,PTS,10,0.004349309227369512,CHI,PTS,zach collins,nick richards
CHI,Zach Collins,Nick Richards,REB,10,0.008176159460364794,CHI,REB,zach collins,nick richards
CHI,Zach Collins,Nikola Vucevic,AST,10,0.004338073478011497,CHI,AST,zach collins,nikola vucevic
CHI,Zach Collins,Nikola Vucevic,PTS,10,0.007567712492026046,CHI,PTS,zach collins,nikola vucevic
CHI,Zach Collins,Nikola Vucevic,REB,10,0.012552686171585182,CHI,REB,zach collins,nikola vucevic
CHI,Zach Collins,Patrick Williams,AST,10,0.0018952691171041248,CHI,AST,zach collins,patrick williams
CHI,Zach Collins,Patrick Williams,PTS,10,0.003313596862621185,CHI,PTS,zach collins,patrick williams
CHI,Zach Collins,Patrick Williams,REB,10,0.0052390267696910044,CHI,REB,zach collins,patrick williams
CHI,Zach Collins,Rob Dillingham,AST,10,0.0024531970210972644,CHI,AST,zach collins,rob dillingham
CHI,Zach Collins,Rob Dillingham,PTS,10,0.00372297682201707,CHI,PTS,zach collins,rob dillingham
CHI,Zach Collins,Rob Dillingham,REB,10,0.005486132014509165,CHI,REB,zach collins,rob dillingham
CHI,Zach Collins,Tre Jones,AST,10,0.003993162975553913,CHI,AST,zach collins,tre jones
CHI,Zach Collins,Tre Jones,PTS,10,0.0058533462522318775,CHI,PTS,zach collins,tre jones
CHI,Zach Collins,Tre Jones,REB,10,0.008026821887649643,CHI,REB,zach collins,tre jones
