source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
oddsapi,NBA,Dennis Schroder,PTS,2026-05-02 22:30:30,6.5,0.6,0.5001,0.4999,,,,n_books=6
oddsapi,NBA,Sandro Mamukelashvili,PTS,2026-05-02 22:30:30,5.5,0.5,0.5262,0.4738,,,,n_books=5
oddsapi,NBA,Sam Merrill,PTS,2026-05-02 22:30:30,5.5,0.5,0.5221,0.4779,,,,n_books=5
oddsapi,NBA,Dean Wade,PTS,2026-05-02 22:30:30,3.5,0.5,0.5255,0.4745,,,,n_books=5
oddsapi,NBA,Evan Mobley,REB,2026-05-02 22:30:30,8.5,0.6,0.5222,0.4778,,,,n_books=6
oddsapi,NBA,Jarrett Allen,REB,2026-05-02 22:30:30,7.5,0.7,0.4884,0.5116,,,,n_books=7
oddsapi,NBA,Scottie Barnes,REB,2026-05-02 22:30:30,7.5,0.6,0.4357,0.5643,,,,n_books=6
oddsapi,NBA,Collin Murray-Boyles,REB,2026-05-02 22:30:30,6.5,0.7,0.5027,0.4973,,,,n_books=7
oddsapi,NBA,R.J. Barrett,REB,2026-05-02 22:30:30,5.5,0.8,0.5559,0.4441,,,,n_books=8
oddsapi,NBA,Jakob Poeltl,REB,2026-05-02 22:30:30,5.5,0.7,0.5147,0.4853,,,,n_books=7
oddsapi,NBA,Max Strus,REB,2026-05-02 22:30:30,4.5,0.7,0.4607,0.5393,,,,n_books=7
oddsapi,NBA,Donovan Mitchell,REB,2026-05-02 22:30:30,4.5,0.5,0.4327,0.5673,,,,n_books=5
oddsapi,NBA,James Harden,REB,2026-05-02 22:30:30,4.5,0.7,0.4308,0.5692,,,,n_books=7
oddsapi,NBA,Sandro Mamukelashvili,REB,2026-05-02 22:30:30,3.5,0.6,0.4396,0.5604,,,,n_books=6
oddsapi,NBA,Jamal Shead,REB,2026-05-02 22:30:30,2.5,0.5,0.3858,0.6142,,,,n_books=5
oddsapi,NBA,James Harden,FG3M,2026-05-02 22:30:30,2.5,0.7,0.5461,0.4539,,,,n_books=7
